ID,APPLICANT,APPLICATION_ID,AGREEMENT_ID,EDB_LOAN_ID,EDB_CUSTOMER_ID,REQUEST_TYPE,CURRENT_SALARY,OVER_DUE_AMT,OVER_DUE_MONTHS,DEDUCT_FROM_SALARY,APPROVED_REQUEST_TYPE,NEW_EMI_APPLICABLE_MONTHS,CURRENT_EMI_AMT,NEW_EMI_AMT,CREATED_DATE,STATUS,APPROVED_DATE,JUSTIFICATIONS,REMARKS,UNTIL_LOAN_END,ADDITIONAL_MONTHS,ADDITIONAL_PREMIUM,START_MONTH,START_YEAR
MRE_AR_1572,MMOEI_19816015425,MSZHP_130898,MAGREE_39171,LD1630637047,105974,UPDATE_INSTALLMENT,38580,70048,11,YES,UPDATE_INSTALLMENT,,6368,1347.08,2022-09-05 00:00:00,APPROVED,2024-08-26 00:00:00,Bulk Approved by Manager,,,52,1347.08,9,2022
MRE_AR_1705,MMOEI_19876092531,MSZHP_70059,MAGREE_29898,LD1524506676,13962,UPDATE_INSTALLMENT,20500,57525,25,YES,UPDATE_INSTALLMENT,,2301,511.33,2022-09-22 00:00:00,APPROVED,2024-08-06 00:00:00,Bulk Approved by Manager,,,36,511.33,1,2023
MRE_AR_2413,MMOEI_19846032262,MSZHP_61528,MAGREE_31903,LD1524507706,16418,UPDATE_INSTALLMENT,21750,70340,20,YES,UPDATE_INSTALLMENT,,3517,847.46,2023-06-07 00:00:00,APPROVED,2024-04-02 00:00:00,Bulk Approved by Manager,,,83,847.46,4,2024
MRE_AR_2569,MMOEI_19876041495,MSZHP_141500,MAGREE_44254,LD1816480432,115687,UPDATE_INSTALLMENT,24000,108256,34,YES,UPDATE_INSTALLMENT,,3184,1002.37,2023-07-27 00:00:00,APPROVED,2024-08-09 00:00:00,Bulk Approved by Manager,,,108,1002.37,8,2024
MRE_AR_2832,MMOEI_19796032336,MSZHP_135171,MAGREE_113343,LD1803209031,113457,UPDATE_INSTALLMENT,26150,98328,17,YES,UPDATE_INSTALLMENT,,5784,110,2023-10-19 00:00:00,APPROVED,2024-03-12 00:00:00,Bulk Approved by Manager,,,0,110,10,2023
MRE_AR_2855,MMOEI_19845017855,MSZHP_70294,MAGREE_68887,LD1524590280,5833,UPDATE_INSTALLMENT,21475,53235,21,YES,UPDATE_INSTALLMENT,,2535,1960,2023-10-29 00:00:00,APPROVED,2024-01-11 00:00:00,Bulk Approved by Manager,,,0,1960,11,2023
MRE_AR_2902,MMOEI_1979703814,MSZHP_39785,MAGREE_68132,LD1524591815,7605,UPDATE_INSTALLMENT,31200,73656,27,YES,UPDATE_INSTALLMENT,,2728,1473.12,2023-11-10 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,50,1473.12,11,2023
MRE_AR_2958,MMOEI_198030121840,MSZHP_72866,MAGREE_33764,LD1524503997,18314,UPDATE_INSTALLMENT,221400,159200,50,YES,UPDATE_INSTALLMENT,,3184,1248,2023-12-05 00:00:00,APPROVED,2024-03-12 00:00:00,Bulk Approved by Manager,,,0,1248,12,2023
MRE_AR_2976,MMOEI_19846061119,MSZHP_59381,MAGREE_75070,LD1524594447,10910,UPDATE_INSTALLMENT,20662,6669,4,YES,UPDATE_INSTALLMENT,,1667,2332,2023-12-13 00:00:00,APPROVED,2024-01-16 00:00:00,Bulk Approved by Manager,,,3,2332,12,2023
MRE_AR_2980,MMOEI_1956617446,MSZHP_47959,MAGREE_67987,LD1524591836,7628,UPDATE_INSTALLMENT,15275,81683,49,YES,UPDATE_INSTALLMENT,,1667,551.91,2023-12-14 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,148,551.91,12,2023
